model,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,roc_auc
LogisticRegression,0,0.7175170962651236,0.7175234520699166,0.717148044843488,0.7171462533317325,0.7773113491341588
LogisticRegression,1,0.7183938278099246,0.718383980326285,0.7174988266924869,0.7175016148579617,0.783653824867926
LogisticRegression,2,0.7051911609961417,0.7051911609961417,0.7035285748198874,0.7035285748198874,0.7777674912320696
LogisticRegression,3,0.717818309365135,0.7178183093651351,0.7161663935791269,0.7161663935791269,0.7892144276451825
LogisticRegression,4,0.7183444405471764,0.7183444405471764,0.7172297731270133,0.7172297731270133,0.7856497397148521
RandomForest,0,0.9004032965106085,0.9004029244924272,0.900402778990556,0.9004028187997907,0.9645168915412176
RandomForest,1,0.8988251797299667,0.8988260067700957,0.8988230768164086,0.8988229959351179,0.961025030955404
RandomForest,2,0.8993335671694143,0.8993335671694143,0.8993311396831081,0.8993311396831081,0.9581378462466664
RandomForest,3,0.9045948789898282,0.9045948789898282,0.9045934587258,0.9045934587257999,0.9637519421579265
RandomForest,4,0.9044195019291477,0.9044195019291477,0.9044150303142451,0.9044150303142451,0.962457252225923
