epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_roc_auc
1,0.5702001064289771,0.8978620399931063,0.5676767676767677,0.48260381593714924,0.4058519257135735,0.38024842514180335
2,0.38569478376900046,1.2055081841118809,0.3878787878787879,0.4379910213243547,0.3711792406905422,0.3840877914951989
3,0.26700723727555953,1.078914840935858,0.4417508417508417,0.4657687991021324,0.4413455102388111,0.4568657015346128
4,0.17555559899493428,1.6149633741539335,0.4101010101010101,0.4657687991021325,0.3891528925619835,0.4455403265728743
5,0.13344443057475408,1.4500371539632881,0.41548821548821546,0.4455667789001122,0.4132849995266151,0.4418029906245395
6,0.09258842229943484,1.8965598196292968,0.37643097643097645,0.41301907968574636,0.37008938060232044,0.3794472975168822
7,0.0668014588605876,2.466232928523311,0.38855218855218854,0.47446689113355783,0.3114242759736413,0.49700332921432805
8,0.05516521320791735,2.684117581788137,0.3865319865319865,0.4545454545454546,0.3459272599809024,0.4209339938857335
9,0.05363852587678121,2.093853537903892,0.5845117845117845,0.5120650953984287,0.47011060507482105,0.4374591406016771
10,0.07006002279877616,2.7279911802272605,0.38855218855218854,0.4607182940516274,0.3409754724284759,0.4189406220831585
11,0.04363821103326293,1.9588561897727375,0.4276094276094276,0.4657687991021324,0.42209962457650396,0.47215703613010007
12,0.028522785492927562,1.728173046561604,0.5077441077441077,0.4882154882154882,0.48822676645647944,0.44933529080554896
13,0.024392616425789,2.0075151408160172,0.42828282828282827,0.4565095398428732,0.42685960989185584,0.4708986611343514
14,0.0249527618886634,2.130593240461767,0.5488215488215489,0.49130190796857465,0.4698960411232162,0.43996927751136505
15,0.026078851977656515,3.31016254970923,0.3656565656565657,0.4323793490460157,0.3243923312610841,0.3624119987756351
